日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/01/03,"7,064,552","1,034,974,917",146.0,147.35,146.0,146.4,+0.90,"8,298"
111/01/04,"10,122,789","1,507,398,153",147.7,149.6,147.7,149.6,+3.20,"10,438"
111/01/05,"11,730,618","1,755,680,824",150.1,150.55,149.1,149.3,-0.30,"12,614"
111/01/06,"9,085,138","1,342,084,958",148.3,148.75,147.0,147.9,-1.40,"13,496"
111/01/07,"7,435,645","1,095,365,963",148.3,149.0,146.5,146.6,-1.30,"12,008"
111/01/10,"15,979,639","2,346,043,879",146.0,147.8,145.4,147.55,+0.95,"8,675"
111/01/11,"17,984,061","2,655,717,032",147.6,148.5,146.7,148.3,+0.75,"8,365"
111/01/12,"10,326,119","1,541,003,375",149.35,149.6,148.7,149.55,+1.25,"6,551"
111/01/13,"7,680,333","1,152,220,355",149.55,150.45,149.55,150.3,+0.75,"7,281"
111/01/14,"10,400,081","1,560,843,189",150.8,151.2,149.05,150.3, 0.00,"9,178"
111/01/17,"7,202,412","1,093,229,361",151.1,152.4,151.1,152.0,+1.70,"9,817"
111/01/18,"14,811,991","2,242,827,500",152.2,152.25,150.15,150.3,-1.70,"12,127"
111/01/19,"15,371,288","2,288,127,587",149.0,149.65,148.25,148.5,-1.80,"18,846"
111/01/20,"16,845,120","2,499,682,717",148.5,149.2,147.6,149.1,+0.60,"16,497"
111/01/21,"32,475,644","4,649,317,826",143.9,143.95,142.3,142.65,X0.00,"53,966"
111/01/24,"13,767,241","1,965,019,247",142.1,144.0,141.7,144.0,+1.35,"17,460"
111/01/25,"25,646,145","3,632,621,711",142.55,142.55,141.25,141.65,-2.35,"39,744"
111/01/26,"18,559,075","2,629,997,366",141.15,142.2,141.05,141.55,-0.10,"21,586"
111/02/07,"25,312,461","3,593,629,562",142.6,142.8,141.2,142.3,0.75,"27,821"
111/02/08,"11,521,967","1,648,442,209",143.3,143.5,142.8,142.9,0.6,"12,271"
111/02/09,"8,470,497","1,211,943,126",143.5,143.5,142.65,143.4,0.5,"10,362"
111/02/10,"6,325,130","912,680,055",143.9,145.05,143.5,145.05,1.65,"9,065"
111/02/11,"4,556,282","659,321,520",144.7,145.05,144.05,144.95,-0.1,"6,376"
111/02/14,"12,907,152","1,841,179,721",143.95,143.95,142.2,142.7,-2.25,"23,175"
111/02/15,"8,139,525","1,160,338,475",142.7,143.2,141.95,142.05,-0.65,"16,664"
111/02/16,"6,906,308","995,478,507",143.9,144.45,143.8,144.4,2.35,"9,252"
111/02/17,"5,161,916","746,195,906",144.4,145.0,144.0,144.5,0.1,"7,328"
111/02/18,"4,068,622","584,581,991",143.5,144.15,143.05,144.1,-0.4,"5,997"
111/02/21,"4,807,904","689,347,421",143.45,143.85,142.8,143.8,-0.3,"8,772"
111/02/22,"20,814,988","2,943,619,804",142.6,142.65,140.75,141.85,-1.95,"42,631"
111/02/23,"4,803,500","681,745,270",141.85,142.4,141.65,142.25,0.4,"8,142"
111/02/24,"32,725,876","4,565,434,642",141.1,141.1,138.3,138.8,-3.45,"67,346"
111/02/25,"24,731,645","3,424,810,229",139.05,139.2,137.85,138.5,-0.3,"43,146"
111/03/01,"8,694,504","1,218,632,723",139.05,140.8,138.85,140.45,1.95,"12,259"
111/03/02,"6,778,502","946,372,757",140.0,140.1,139.2,139.65,-0.8,"14,073"
111/03/03,"4,742,921","664,351,237",140.5,140.8,139.85,139.95,0.3,"7,830"
111/03/04,"14,283,278","1,977,417,838",138.5,138.85,137.95,138.45,-1.5,"33,012"
111/03/07,"57,431,892","7,712,383,575",136.9,136.9,133.75,134.0,-4.45,"104,615"
111/03/08,"46,246,906","6,098,512,055",132.45,133.15,131.0,131.15,-2.85,"86,528"
111/03/09,"22,656,321","3,007,269,415",132.2,133.25,132.2,132.5,1.35,"33,257"
111/03/10,"15,177,320","2,065,524,204",135.2,136.55,135.2,136.35,3.85,"20,830"
111/03/11,"11,806,594","1,591,939,591",135.85,135.85,134.2,134.4,-1.95,"24,453"
111/03/14,"9,183,817","1,235,380,453",135.0,135.35,134.0,134.4,0.0,"14,005"
111/03/15,"26,456,827","3,486,775,988",133.15,133.15,131.4,131.65,-2.75,"58,815"
111/03/16,"20,364,324","2,682,635,242",133.2,133.25,131.1,132.2,0.55,"31,163"
111/03/17,"14,459,851","1,962,595,410",135.45,136.5,135.2,136.4,4.2,"14,613"
111/03/18,"12,975,464","1,765,126,941",136.6,136.6,135.5,136.1,-0.3,"9,547"
111/03/21,"8,071,045","1,108,232,637",136.8,137.65,136.8,137.0,0.9,"9,955"
111/03/22,"6,251,029","854,443,656",136.8,137.0,136.3,136.8,-0.2,"6,431"
111/03/23,"10,632,461","1,467,263,732",137.6,138.35,137.55,138.1,1.3,"10,787"
111/03/24,"4,479,584","616,438,268",137.5,138.1,137.05,138.0,-0.1,"5,982"
111/03/25,"5,074,402","701,035,397",138.4,138.5,137.9,138.2,0.2,"7,142"
111/03/28,"11,194,840","1,523,419,805",137.0,137.0,135.55,136.7,-1.5,"17,862"
111/03/29,"6,644,012","909,712,955",137.0,137.2,136.6,136.85,0.15,"6,574"
111/03/30,"8,498,372","1,176,292,567",138.05,138.7,138.05,138.55,1.7,"8,633"
111/03/31,"3,748,776","518,591,902",138.55,138.65,138.1,138.1,-0.45,"5,426"
111/04/01,"8,220,571","1,123,614,950",136.6,136.95,136.15,136.95,-1.15,"11,446"
111/04/06,"12,266,186","1,663,822,127",135.25,136.35,135.0,136.25,-0.7,"18,875"
111/04/07,"16,680,908","2,243,105,321",135.1,135.1,133.8,133.8,-2.45,"41,548"
111/04/08,"9,480,787","1,270,359,704",134.1,134.55,133.75,134.55,0.75,"12,982"
